Client Product Type,Client Attribute,Client Attribute Value,Comments,Expression,PT_a,AT_a,VA_a,PT_b,AT_b,VA_b,PT_c,AT_c,VA_c,PT_d,AT_d,VA_d,PT_e,AT_e,VA_e,PT_f,AT_f,VA_f,Rev_AT_a,Rev_VA_a,Rev_AT_b,Rev_VA_b,Rev_AT_c,Rev_VA_c,Rev_AT_d,Rev_VA_d
Dresses,Pattern Style,Bengal/Awning Stripes,Done,a and b and c and d,dress,StripeStyle,bengal,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,bengal,,,,,,
Dresses,Pattern Style,Barcode Stripes,Done,a and b and c and d,dress,StripeStyle,barcode,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,barcode,,,,,,
Dresses,Pattern Style,Broad Stripes,Done,a and b and c and d,dress,StripeStyle,broad,dress,L2printuw,Lines,dress,L1patternuw,Print,dress,L3Pattern_Lines,Stripe,,,,,,,StripeStyle,broad,,,,,,
Dresses,Pattern Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Sleeve Length,Sleeveless,Done,(a and b) or (c and d),,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,,,,SleeveLength,sleeveless,,,,,,
Dresses,Sleeve Length,Short Sleeve,Done,(a and b) or (c and d),,SleeveLength_Garment,Short,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Short,,,,,,,SleeveLength,short,,,,,,
Dresses,Sleeve Length,Cap Sleeve,,(a and b) or (c and d),,SleeveLength_Garment,Cap,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Cap,,,,,,,,,,,,,,
Dresses,Sleeve Length,3-4th Sleeve,Done,(a and b) or (c and d),,SleeveLength_Garment,3_4Th,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,3_4Th,,,,,,,SleeveLength,3_4th,,,,,,
Dresses,Sleeve Length,Long Sleeve,Done,(a and b) or (c and d),,SleeveLength_Garment,Full,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Full,,,,,,,SleeveLength,full,,,,,,
Dresses,Sleeve Length,Elbow Sleeve,,a and b,,Buyma_GarmentType,Model,,SleeveLength_Model,Elbow,,,,,,,,,,,,,,,,,,,,
Dresses,Sleeve Length,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Color Tone,Bright,Done,a and (not b),,ColorTone,Bright,,IsNeon,Neon,,,,,,,,,,,,,ColorTone,Bright,,,,,,
Dresses,Color Tone,Dark,Done,a,,ColorTone,Dark,,,,,,,,,,,,,,,,ColorTone,Dark,,,,,,
Dresses,Color Tone,Neutral,Done,a and (not b),,ColorTone,Neutral,,IsMetallic,Metallic,,,,,,,,,,,,,ColorTone,Neutral,,,,,,
Dresses,Color Tone,Pastel,Done,a,,ColorTone,Pastel,,,,,,,,,,,,,,,,ColorTone,Pastel,,,,,,
Dresses,Color Tone,Neon,Done,a and b,,IsNeon,Neon,,ColorTone,Bright,,,,,,,,,,,,,IsNeon,Neon,,,,,,
Dresses,Color Tone,Metallic,Done,a and b,,IsMetallic,Metallic,,ColorTone,Neutral,,,,,,,,,,,,,IsMetallic,Metallic,,,,,,
Dresses,Color Tone,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Strap Type,Halter,Done,a and ((b and c) or (d and e)),,Strap_Type,Halter,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Halter,,,,,,
Dresses,Strap Type,Spaghetti ,Done,a and ((b and c) or (d and e)),,Strap_Type,Spaghetti_Strap,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Spaghetti_Strap,,,,,,
Dresses,Strap Type,Strapless,Done,a and ((b and c) or (d and e)),,Strap_Type,Strapless,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Strapless,,,,,,
Dresses,Strap Type,Wide Strap,Done,a and ((b and c) or (d and e)),,Strap_Type,Wide_Strap,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,Wide_Strap,,,,,,
Dresses,Strap Type,One Shoulder,Done,a and ((b and c) or (d and e)),,Strap_Type,One_Shoulder,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,Strap_Type,One_Shoulder,,,,,,
Dresses,Strap Type,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Sleeve Style,Bell/Flounce,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,"3_4Th,Full",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full",,SleeveStyle_long,bell_flounce,,,,SleeveStyle_long,bell_flounce,,,,,,
Dresses,Sleeve Style,Bishop,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,"3_4Th,Full",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full",,SleeveStyle_long,bishop,,,,SleeveStyle_long,bishop,,,,,,
Dresses,Sleeve Style,Leg Of Mutton,Done,((a and b) or (c and d)) and e,dress,SleeveLength_Garment,"3_4Th,Full",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full",,SleeveStyle_long,leg_of_mutton,,,,SleeveStyle_long,leg_of_mutton,,,,,,
Dresses,Sleeve Style,Flared/Flutter,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,SleeveStyle_short,flared_flutter,,,,SleeveStyle_short,flared_flutter,,,,,,
Dresses,Sleeve Style,Puff,Done,((a and b) or (c and d)) and e,,SleeveLength_Garment,Short,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Short,,SleeveStyle_short,puff,,,,SleeveStyle_short,puff,,,,,,
Dresses,Sleeve Style,Regular,Done,((a and b) or (c and d)) and (not e) and (not f),,SleeveLength_Garment,"3_4Th,Full,Short",,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,"3_4Th,Full,Short",,SleeveStyle_long,"bell_flounce,bishop,leg_of_mutton",,SleeveStyle_short,"flared_flutter,puff",SleeveLength,"full,short,3_4th",,,,,,
Dresses,Sleeve Style,Cold Shoulder,Done,a and (not b) and (not c) and (not d),,IsColdShoulder,cold_shoulder,,SleeveLength,sleeveless,,NecklineL1_Classifier,"Cowl,Hooded,Collared,Off_Shoulder,Square_Neck,Strapless,One_Shoulder",dress,DressStyle_v2,"Pinafore,tts_cluster",,,,,,,IsColdShoulder,cold_shoulder,,,,,,
Dresses,Sleeve Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Neckline,Boatneck Bateau,Done,a and b,dress,NecklineL1_Classifier,Round_Neck,,NecklineL2,boatneck,,,,,,,,,,,,,NecklineL2,boatneck,NecklineL1,round_neck,,,,
Dresses,Neckline,Collared,Done,a,dress,NecklineL1_Classifier,Collared,,,,,,,,,,,,,,,,NecklineL1,collared,,,,,,
Dresses,Neckline,Cowl,Done,a,dress,NecklineL1_Classifier,Cowl,,,,,,,,,,,,,,,,NecklineL1,cowl,,,,,,
Dresses,Neckline,Crewneck,Done,a and b,dress,NecklineL1_Classifier,Round_Neck,,NecklineL2,crew_neck,,,,,,,,,,,,,NecklineL2,crew_neck,NecklineL1,round_neck,,,,
Dresses,Neckline,Highneck,Done,a,dress,NecklineL1_Classifier,High_Neck,,,,,,,,,,,,,,,,NecklineL1,highneck,,,,,,
Dresses,Neckline,Hooded,Done,a,dress,NecklineL1_Classifier,Hooded,,,,,,,,,,,,,,,,NecklineL1,hooded,,,,,,
Dresses,Neckline,Off Shoulder,Done,a,dress,NecklineL1_Classifier,Off_Shoulder,,,,,,,,,,,,,,,,NecklineL1,off_shoulder,,,,,,
Dresses,Neckline,One Shoulder,Done,a,dress,NecklineL1_Classifier,One_Shoulder,,,,,,,,,,,,,,,,NecklineL1,one_shoulder,,,,,,
Dresses,Neckline,Plunge Neck,Done,a and b,dress,NecklineL1_Classifier,V_Neck,,PlungeNeckline,Plunge,,,,,,,,,,,,,PlungeNeckline,Plunge,,,,,,
Dresses,Neckline,Scoop Neck,Done,a and b,dress,NecklineL1_Classifier,Round_Neck,,NecklineL2,scoop_neck,,,,,,,,,,,,,NecklineL2,scoop_neck,NecklineL1,round_neck,,,,
Dresses,Neckline,Square Neck,Done,a,dress,NecklineL1_Classifier,Square_Neck,,,,,,,,,,,,,,,,NecklineL1,square_neck,,,,,,
Dresses,Neckline,Strapless,Done,a,dress,NecklineL1_Classifier,Strapless,,,,,,,,,,,,,,,,NecklineL1,strapless,,,,,,
Dresses,Neckline,Sweetheart Neck,Done,a and b,dress,NecklineL1_Classifier,"V_Neck,Strapless",,SweetheartNeckline,Sweetheart,,,,,,,,,,,,,SweetheartNeckline,Sweetheart,,,,,,
Dresses,Neckline,V Neck,Done,a,dress,NecklineL1_Classifier,V_Neck,,,,,,,,,,,,,,,,NecklineL1,v_neck,,,,,,
Dresses,Neckline,Split Neck,Done,a and b,dress,NecklineL1_Classifier,"V_Neck,Round_Neck,High_Neck",,SplitNeckline,Split_neck,,,,,,,,,,,,,SplitNeckline,Split_neck,,,,,,
Dresses,Neckline,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Neckline Detail,Halter,Done,a and ((b and c) or (d and e)),,NecklineDetails,Halter,,SleeveLength_Garment,Sleeveless,,Buyma_GarmentType,Garment,,Buyma_GarmentType,Model,,SleeveLength_Model,Sleeveless,,,,NecklineDetails,Halter,,,,,,
Dresses,Neckline Detail,Keyhole,Done,a,,NecklineDetails,Keyhole,,,,,,,,,,,,,,,,NecklineDetails,Keyhole,,,,,,
Dresses,Neckline Detail,Henley,Done,a and b and c,,NecklineDetails,Henley,dress,DressStyle_v2,tts_cluster,dress,TShirtVsTankVsSweater,T_Shirt_Dress,,,,,,,,,,NecklineDetails,Henley,,,,,,
Dresses,Neckline Detail,Tie Neck,Done,a and b,,NecklineDetails,Tie_neck,,NecklineL1_Classifier,"High_Neck,Collared,V_Neck",,,,,,,,,,,,,NecklineDetails,Tie_neck,,,,,,
Dresses,Neckline Detail,Quarter Zip,Done,a,,NecklineDetails,Quarter_zip,,,,,,,,,,,,,,,,NecklineDetails,Quarter_zip,,,,,,
Dresses,Neckline Detail,Mock Neck,Done,a and b,,NecklineL1_Classifier,High_Neck,,IsMockNeck,mock_neck,,,,,,,,,,,,,IsMockNeck,mock_neck,,,,,,
Dresses,Neckline Detail,Turtle Neck,Done,a and b and (not c),,NecklineL1_Classifier,High_Neck,,IsTurtleNeck,turtleneck,,IsMockNeck,mock_neck,,,,,,,,,,IsTurtleNeck,turtleneck,,,,,,
Dresses,Neckline Detail,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Collar,Shirt,Done,a and b,dress,NecklineL1_Classifier,Collared,,CollarStyle,shirt,,,,,,,,,,,,,CollarStyle,shirt,,,,,,
Dresses,Collar,Cape,Done,a and b,dress,NecklineL1_Classifier,Collared,,CollarStyle,cape,,,,,,,,,,,,,CollarStyle,cape,,,,,,
Dresses,Collar,Cascade/Draped,Done,a and b,dress,NecklineL1_Classifier,Collared,,CollarStyle,cascade,,,,,,,,,,,,,CollarStyle,cascade,,,,,,
Dresses,Collar,Mandarin/Stand,Done,a and b,dress,NecklineL1_Classifier,"Collared,High_Neck",,CollarStyle,"cossack,mandarin",,,,,,,,,,,,,CollarStyle,"cossack,mandarin",,,,,,
Dresses,Collar,Peter Pan,Done,a and b,dress,NecklineL1_Classifier,Collared,,CollarStyle,"chelsea,peterpan",,,,,,,,,,,,,CollarStyle,"chelsea,peterpan",,,,,,
Dresses,Collar,Revere,Done,a and b,dress,NecklineL1_Classifier,Collared,,CollarStyle,revere,,,,,,,,,,,,,CollarStyle,revere,,,,,,
Dresses,Collar,Sailor,Done,a and b,dress,NecklineL1_Classifier,Collared,,CollarStyle,sailor,,,,,,,,,,,,,CollarStyle,sailor,,,,,,
Dresses,Collar,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Style,Casual,Done,a and (not b) and (not c),dress,StyleDressWomen,Casual,dress,StyleDressWomen,"Classic,Glam",dress,OccasionDressWomen,cocktail_party,,,,,,,,,,StyleDressWomen,Casual,,,,,,
Dresses,Style,Retro,Done,a,dress,StyleDressWomen,Retro,,,,,,,,,,,,,,,,StyleDressWomen,Retro,,,,,,
Dresses,Style,Classic,Done,a,dress,StyleDressWomen,Classic,,,,,,,,,,,,,,,,StyleDressWomen,Classic,,,,,,
Dresses,Style,Romantic,Done,a,dress,StyleDressWomen,Romantic,,,,,,,,,,,,,,,,StyleDressWomen,Romantic,,,,,,
Dresses,Style,Bohemian,Done,a,dress,StyleDressWomen,Bohemian,,,,,,,,,,,,,,,,StyleDressWomen,Bohemian,,,,,,
Dresses,Style,Glam,Done,a,dress,StyleDressWomen,Glam,,,,,,,,,,,,,,,,StyleDressWomen,Glam,,,,,,
Dresses,Style,Artsy,Done,a,dress,StyleDressWomen,Artsy,,,,,,,,,,,,,,,,StyleDressWomen,Artsy,,,,,,
Dresses,Style,Punk,Done,a,dress,StyleDressWomen,Punk,,,,,,,,,,,,,,,,StyleDressWomen,Punk,,,,,,
Dresses,Style,Athleisure,Done,a and (not b),dress,StyleDressWomen,Athleisure,dress,OccasionDressWomen,"party,cocktail_party,officewear",,,,,,,,,,,,,StyleDressWomen,Athleisure,,,,,,
Dresses,Style,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dresses,Design Details,Crisscross / Lace Up,Done,a,,DesignDetailsUW,crisscross_lace-up,,,,,,,,,,,,,,,,DesignDetailsUW,crisscross_lace-up,,,,,,
Dresses,Design Details,Cutout,Done,a,,DesignDetailsUW,cutout,,,,,,,,,,,,,,,,DesignDetailsUW,cutout,,,,,,
Dresses,Design Details,Frills / Ruffle,Done,a,,DesignDetailsUW,frills_ruffle,,,,,,,,,,,,,,,,DesignDetailsUW,frills_ruffle,,,,,,
Dresses,Design Details,Fringes,Done,a,,DesignDetailsUW,fringes,,,,,,,,,,,,,,,,DesignDetailsUW,fringes,,,,,,
Dresses,Design Details,Fur Details,Done,a,,DesignDetailsUW,fur,,,,,,,,,,,,,,,,DesignDetailsUW,fur,,,,,,
